,id,mid_tempo,order,diff,complexity,prac1_diff,prac1_perf,prac1_err,prac2_diff,prac2_perf,prac2_err,prac3_diff,prac3_perf,prac3_err,prac4_diff,prac4_perf,prac4_err,prac5_diff,prac5_perf,prac5_err,prac_coef_diff,prac_intecept_diff,prac_coef_perf,prac_intecept_perf,prac_coef_err,prac_intecept_err,test_diff,test_err,test_perf,ret1_diff,ret1_err,ret1_perf,ret2_diff,ret2_err,ret2_perf,ret3_diff,ret3_err,ret3_perf
10,9,116,2,3,3,1,7,0.18137928,1,7,0.0796636,1,7,0.02513828,1,7,0.02715612,1,7,0.05309828,0.0,1.0,0.0,7.0,-0.030906948,0.135101008,1,0.16365396,7,1,0.08190648,7,1,0.11010216,7,1,0.0440082,7
11,9,116,3,4,3,1,7,0.213625,1,7,0.2186875,1,7,0.1131875,1,7,0.1704375,1,7,0.22525,0.0,1.0,0.0,7.0,-0.0025000000000000053,0.1932375,1,0.380741688,6,2,1.074327563,6,1,0.139855437,7,1,0.156097125,7
12,11,281,0,3,5,1,6,0.020133731,1,7,0.019747346,1,7,0.017784038,1,7,0.018703577,1,1,0.963192308,0.0,1.0,-1.0,7.6,0.18850733850000004,-0.16910247700000008,1,0.0178225,7,1,0.017833115,6,1,0.146597038,4,1,0.021181038,6
13,11,281,1,4,5,2,5,0.115802611,1,6,0.057570944,1,7,0.062247056,1,7,0.043417278,1,7,0.055135944,-0.20000000000000004,1.6,0.5,5.4,-0.013548700000000004,0.0939321666,1,0.048237611,6,1,0.087385389,6,1,0.038493944,7,1,0.043541833,7
14,11,281,2,0,5,1,7,0.858284,1,7,0.055291667,1,7,0.021550042,1,7,0.024349375,1,7,0.020285208,0.0,1.0,0.0,7.0,-0.17069398760000004,0.5373400336,1,0.022894875,7,1,0.28178975,5,1,0.024684625,6,1,0.018517958,7
15,11,281,3,2,5,1,7,0.018690783,1,7,0.017963478,1,7,0.019319304,1,7,0.017400348,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.018018739,7,1,0.253485,5,1,0.059143174,6,1,0.018400043,7
16,13,248,0,0,3,4,5,0.281883148,3,5,0.188952407,3,6,0.315660926,2,6,0.054848519,2,6,0.023665741,-0.5,3.8,0.3,5.0,-0.0650538702,0.3031098886,2,0.015127963,6,2,0.017772037,6,2,0.050040926,6,2,0.103891296,6
17,13,248,1,2,3,3,5,0.146347167,3,4,0.200122833,3,5,0.043545944,2,6,0.037808722,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.032474722,5,3,0.029158056,6,2,0.021469722,6,3,0.170510833,5
18,13,248,2,3,3,5,3,0.379608636,5,3,0.428145227,5,3,0.265969318,4,4,0.222811136,4,3,0.424481136,-0.30000000000000004,5.199999999999999,0.10000000000000002,3.0,-0.01155890910000001,0.36732090880000007,4,0.067087955,5,4,0.340923864,5,4,0.336076136,5,3,0.0787025,5
19,13,248,3,4,3,7,1,1.04,7,2,0.6160664,7,2,0.6769066,6,3,0.4339458,6,2,0.46504,-0.30000000000000004,7.199999999999999,0.3,1.4,-0.13320405999999999,0.9127998799999999,4,0.1109616,5,4,0.5111122,4,3,0.1635782,5,3,0.0127486,7
